Code,Long,Lat,Name
450400,110.991796,23.481197,Wuzhou (Guilin)
450500,109.333895,21.674261,Beihai
450600,108.002756,21.882121,Fangchenggang
450700,109.024583,22.182777,Qinzhou
450800,109.998777,23.310095,Guigang
450900,110.183163,22.443304,Yulin (Guangxi)
451000,106.289130,23.986565,Baise
451100,111.360127,24.359129,Hezhou
451200,107.840063,24.644748,Hechi
451300,109.401680,23.847557,Laibin
451400,107.275500,22.503156,Chongzuo
460100,110.425849,19.831294,Haikou
460200,109.418152,18.391594,Sanya
460300,112.340658,16.833586,Sansha
469001,109.517156,18.775042,Wuzhishan
469002,110.474241,19.257486,Qionghai
469003,109.378543,19.597477,Zhanzhou
469005,110.807002,19.548642,Wenchang
469006,110.378863,18.795356,Wangning
469007,108.849632,19.021888,Dongfang
469021,110.354284,19.679948,Ding'an
469022,110.101854,19.351327,Tunchang
469023,110.010222,19.747500,Dengmai
469024,109.685507,19.909585,Lingao
469025,109.446573,19.228596,Baisha
469026,109.053842,19.295835,Changjiang
469027,109.167838,18.750015,Yuedong
469028,110.039064,18.515258,Lingshui
469029,109.699178,18.634651,Baoting
469030,109.846643,19.033478,Qiongzhong
500000,107.874840,30.058649,Chongqing
510100,103.845430,30.665439,Chengdu
510300,104.682859,29.286609,Zigong
510400,101.731356,26.806554,Panzhihua
510500,105.667410,28.440124,Luzhou
510600,104.429361,31.134085,Deyang
510700,104.702566,31.848502,Mianyang
510800,105.779771,32.260871,Guangyuan
510900,105.470388,30.631465,Suining (Sichuan)
511000,104.932838,29.672022,Neijiang
511100,103.532933,29.178991,Leshan
511300,106.204478,31.196443,Nanchong
511400,103.780033,29.897766,Meishan
511500,104.635323,28.571730,Yibin
511600,106.663273,30.424880,Guang'an
511700,107.645610,31.365529,Dazhou
511800,102.662985,29.916178,Ya'an
511900,107.038378,32.016382,Bazhong
512000,104.952610,30.180041,Ziyang
513200,102.227437,31.897779,Bazhou (Sichuan)
513300,100.017894,30.912351,Ganzi
513400,102.075960,27.887072,Liangshan
520100,106.707825,26.843394,Guiyang
520200,104.889827,26.137300,Liupanshui
520300,107.086993,28.168319,Zunyi
520400,105.951427,25.996155,Anshun
520500,105.214396,27.068180,Bijie
520600,108.543989,27.969457,Tongren
522300,105.464349,25.266192,Qianxinan
522600,108.557102,26.503681,Qiandongnan
522700,107.251474,26.015809,Qiannan
